Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,Bare metal,Trunking compatible,Branch interface,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,RHEL with HA On Demand cost,RHEL with HA Reserved cost,RHEL with HA Spot Minimum cost,RHEL with HA Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz),On Demand (Vantage),Linux Spot Average cost (Vantage),Linux Reserved cost (Vantage),On Demand Numeric,Linux Spot Average Numeric,Linux Reserved Numeric,On Demand Filled,Linux Spot Average cost Filled,Linux Reserved cost Filled,gpu_model_clean,cpu_model_clean,gpu_count,vcpu_count,memory_gib,price_usd_per_hour,reserved_price_usd_per_hour,spot_price_usd_per_hour,cpu_tdp_w_package,threads_per_package,cpu_tdp_w_per_vcpu,cpu_source_type,cpu_source_name,cpu_source_note,cpu_mapping_status,gpu_tdp_w_per_gpu,storage_is_local_ssd,storage_total_gb,storage_drive_count_explicit,storage_text_clean,proxy_model,proxy_capacity_gb,idle_w,active_w,idle_w_per_tb,active_w_per_tb,source_type,source_note,estimated_drive_count,estimated_per_drive_gb,storage_total_tb,ssd_idle_w_per_tb,ssd_active_w_per_tb,ssd_idle_w_total,ssd_active_w_total,ram_idle_w_total,ram_active_w_total,gpu_mapping_status,scenario,cpu_utilization,gpu_utilization,ssd_state,ram_state,total_cpu_power_w,total_gpu_power_w,total_ram_power_w,total_ssd_power_w,other_components_power_w,total_power_w,total_power_mw,voll_usd_per_mwh,voll_reserved_usd_per_mwh,voll_spot_usd_per_mwh
G4AD Eight Extra Large,g4ad.8xlarge,g4ad,"609,911.055",GPU instance,151.0 fps,128 GiB,2933 MT/s,No,,,,,,,,0 units,32 vCPUs,4.00 GiB/vCPU,2.0,AMD Radeon Pro V520,16 GiB,0.0,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,,,,,1200 GB NVMe SSD,Yes,Yes,x86_64,15 Gigabit,3170 Mbps,396.25 MB/s,13333 IOPS,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,60.0,4.0,Yes,No,Yes,10.0,Yes,Yes,Yes,Unknown,No,,$1.734 hourly,$1.0924 hourly,$0.6382 hourly,$0.6783 hourly,$2.0796 hourly,$1.438 hourly,$0.9838 hourly,$1.0525 hourly,$2.5276 hourly,$1.886 hourly,,,$1.859 hourly,$1.1524 hourly,$0.7632 hourly,$0.8319 hourly,$3.206 hourly,$2.5644 hourly,$1.6454 hourly,$1.6454 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,5.04x,,,,,,,,,,1.734,0.6783,1.0924,1.734,0.6783,1.0924,V520,AMD EPYC 7R32,2.0,32.0,128.0,1.734,1.0924,0.6783,280.0,96.0,2.9166666666666665,benchmark_proxy,"Closest EPYC Rome custom-SKU benchmark/reference listings, serversupply",AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,resolved,225,True,1200.0,,1200 GB NVMe SSD,Benchmark for medium,2.5,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,1200.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,92.4,445.50000000000006,0.0,0.0,0.0,537.9000000000001,0.0005379000000000001,3223.647518126045,2030.8607547871347,1261.0150585610706
G4AD Extra Large,g4ad.xlarge,g4ad,"74,710.497",GPU instance,28.0 fps,16 GiB,2933 MT/s,No,,,,,,,,0 units,4 vCPUs,4.00 GiB/vCPU,1.0,AMD Radeon Pro V520,8 GiB,0.0,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,,,,,150 GB NVMe SSD,Yes,Yes,x86_64,Up to 10 Gigabit,400 Mbps,50 MB/s,1700 IOPS,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,8.0,2.0,Yes,No,Yes,12.0,Yes,Yes,Yes,Unknown,No,,$0.3785 hourly,$0.2385 hourly,$0.1126 hourly,$0.1146 hourly,$0.4361 hourly,$0.2961 hourly,$0.1702 hourly,$0.1757 hourly,$0.5061 hourly,$0.3661 hourly,,,$0.4348 hourly,$0.2885 hourly,$0.1689 hourly,$0.1744 hourly,$0.5625 hourly,$0.4225 hourly,$0.2219 hourly,$0.2245 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,0.92x,,,,,,,,,,0.3785,0.1146,0.2385,0.3785,0.1146,0.2385,V520,AMD EPYC 7R32,1.0,4.0,16.0,0.3785,0.2385,0.1146,280.0,96.0,2.9166666666666665,benchmark_proxy,"Closest EPYC Rome custom-SKU benchmark/reference listings, serversupply",AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,resolved,225,True,150.0,,150 GB NVMe SSD,Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,150.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,11.55,222.75000000000003,0.0,0.0,0.0,234.30000000000004,0.00023430000000000003,1615.4502774221082,1017.9257362355952,489.1165172855313
G4DN 12xlarge Extra Large,g4dn.12xlarge,g4dn,"715,776.916",GPU instance,110.0 fps,192 GiB,3200 MT/s,No,,,,,,,,0 units,48 vCPUs,4.00 GiB/vCPU,4.0,NVIDIA T4 Tensor Core,64 GiB,7.5,0,0.0000 units,Intel Xeon Family,2.5 GHz,Yes,Yes,Yes,Yes,900 GB NVMe SSD,Yes,Yes,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240.0,8.0,Yes,No,Yes,54.0,Yes,Yes,Yes,Unknown,Yes,,$3.912 hourly,$2.465 hourly,$1.1407 hourly,$1.2862 hourly,$4.43 hourly,$2.983 hourly,$1.6587 hourly,$2.0018 hourly,$5.102 hourly,$3.655 hourly,,,$4.037 hourly,$2.525 hourly,$1.2657 hourly,$1.6088 hourly,$6.12 hourly,$4.673 hourly,$2.5992 hourly,$2.6053 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,$0.27 hourly,current,"Turing, Turing, Turing, Turing",32.8°C,Yes,3.66x,0.0W,0.0W,585 MHz,585 MHz,5000 MHz,833 MHz,,,,3.912,1.2862,2.465,3.912,1.2862,2.465,T4,Intel Xeon Family,4.0,48.0,192.0,3.912,2.465,1.2862,210.0,48.0,4.375,family_proxy,identical config to 8259 (Cascade Lake) model,Used CPU World benchmark for 8259CL.,resolved,70,True,900.0,,900 GB NVMe SSD,Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,900.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,207.90000000000003,277.20000000000005,0.0,0.0,0.0,485.1000000000001,0.0004851000000000001,8064.3166357452055,5081.4265099979375,2651.412079983508
G4DN 16xlarge Extra Large,g4dn.16xlarge,g4dn,"914,808.462",GPU instance,105.0 fps,256 GiB,2933 MT/s,Yes,2.0,21.0,16.0,32.0,127577 MB,35.0 MB,Yes,0 units,64 vCPUs,4.00 GiB/vCPU,1.0,NVIDIA T4 Tensor Core,16 GiB,7.5,0,0.0000 units,Intel Xeon Family,2.5 GHz,Yes,Yes,Yes,Yes,900 GB NVMe SSD,Yes,Yes,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,60.0,4.0,Yes,No,Yes,118.0,Yes,Yes,Yes,Unknown,Yes,,$4.352 hourly,$2.742 hourly,$1.1334 hourly,$1.2036 hourly,$5.043 hourly,$3.433 hourly,$1.8244 hourly,$2.0168 hourly,$5.939 hourly,$4.329 hourly,,,$4.477 hourly,$2.802 hourly,$1.2584 hourly,$1.4508 hourly,$7.296 hourly,$5.686 hourly,$3.3792 hourly,$3.3947 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,$0.27 hourly,current,Turing,34.0°C,Yes,3.51x,0.0W,0.0W,585 MHz,585 MHz,5000 MHz,825 MHz,,,,4.352,1.2036,2.742,4.352,1.2036,2.742,T4,Intel Xeon Family,1.0,64.0,256.0,4.352,2.742,1.2036,210.0,48.0,4.375,family_proxy,identical config to 8259 (Cascade Lake) model,Used CPU World benchmark for 8259CL.,resolved,70,True,900.0,,900 GB NVMe SSD,Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,900.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,277.20000000000005,69.30000000000001,0.0,0.0,0.0,346.50000000000006,0.0003465000000000001,12559.884559884558,7913.419913419912,3473.593073593073
G4DN Double Extra Large,g4dn.2xlarge,g4dn,"116,228.389",GPU instance,105.0 fps,32 GiB,2666 MT/s,No,,,,,,,,0 units,8 vCPUs,4.00 GiB/vCPU,1.0,NVIDIA T4 Tensor Core,16 GiB,7.5,0,0.0000 units,Intel Xeon Family,2.5 GHz,Yes,Yes,Yes,Yes,225 GB NVMe SSD,Yes,Yes,x86_64,Up to 25 Gigabit,1150 Mbps,143.75 MB/s,6000 IOPS,3500 Mbps,437.5 MB/s,20000 IOPS,Yes,30.0,3.0,Yes,No,Yes,39.0,Yes,Yes,Yes,Unknown,Yes,,$0.752 hourly,$0.474 hourly,$0.2452 hourly,$0.2867 hourly,$0.867 hourly,$0.589 hourly,$0.3602 hourly,$0.4401 hourly,$1.007 hourly,$0.729 hourly,,,$0.877 hourly,$0.534 hourly,$0.3702 hourly,$0.4501 hourly,$1.12 hourly,$0.842 hourly,$0.4551 hourly,$0.4597 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,$0.188 hourly,current,Turing,39.0°C,Yes,3.49x,0.0W,0.0W,585 MHz,585 MHz,5000 MHz,810 MHz,,,,0.752,0.2867,0.474,0.752,0.2867,0.474,T4,Intel Xeon Family,1.0,8.0,32.0,0.752,0.474,0.2867,210.0,48.0,4.375,family_proxy,identical config to 8259 (Cascade Lake) model,Used CPU World benchmark for 8259CL.,resolved,70,True,225.0,,225 GB NVMe SSD,Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,225.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,34.650000000000006,69.30000000000001,0.0,0.0,0.0,103.95000000000002,0.00010395000000000002,7234.247234247233,4559.884559884559,2758.0567580567576
G4DN Quadruple Extra Large,g4dn.4xlarge,g4dn,"230,991.338",GPU instance,106.0 fps,64 GiB,3200 MT/s,No,,,,,,,,0 units,16 vCPUs,4.00 GiB/vCPU,1.0,NVIDIA T4 Tensor Core,16 GiB,7.5,0,0.0000 units,Intel Xeon Family,2.5 GHz,Yes,Yes,Yes,Yes,225 GB NVMe SSD,Yes,Yes,x86_64,Up to 25 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,30.0,3.0,Yes,No,Yes,59.0,Yes,Yes,Yes,Unknown,Yes,,$1.204 hourly,$0.759 hourly,$0.3997 hourly,$0.4292 hourly,$1.377 hourly,$0.931 hourly,$0.5727 hourly,$0.6403 hourly,$1.601 hourly,$1.155 hourly,,,$1.329 hourly,$0.819 hourly,$0.5247 hourly,$0.5923 hourly,$1.94 hourly,$1.495 hourly,$0.8663 hourly,$0.8663 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,$0.27 hourly,current,Turing,30.0°C,Yes,3.52x,0.0W,0.0W,585 MHz,585 MHz,5000 MHz,855 MHz,,,,1.204,0.4292,0.759,1.204,0.4292,0.759,T4,Intel Xeon Family,1.0,16.0,64.0,1.204,0.759,0.4292,210.0,48.0,4.375,family_proxy,identical config to 8259 (Cascade Lake) model,Used CPU World benchmark for 8259CL.,resolved,70,True,225.0,,225 GB NVMe SSD,Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,225.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,69.30000000000001,69.30000000000001,0.0,0.0,0.0,138.60000000000002,0.00013860000000000004,8686.868686868684,5476.190476190475,3096.6810966810963
G4DN Eight Extra Large,g4dn.8xlarge,g4dn,"458,343.28",GPU instance,105.0 fps,128 GiB,2933 MT/s,No,,,,,,,,0 units,32 vCPUs,4.00 GiB/vCPU,1.0,NVIDIA T4 Tensor Core,16 GiB,7.5,0,0.0000 units,Intel Xeon Family,2.5 GHz,Yes,Yes,Yes,Yes,900 GB NVMe SSD,Yes,Yes,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,60.0,4.0,Yes,No,Yes,58.0,Yes,Yes,Yes,Unknown,Yes,,$2.176 hourly,$1.371 hourly,$0.6037 hourly,$0.6514 hourly,$2.522 hourly,$1.716 hourly,$0.9497 hourly,$1.0495 hourly,$2.97 hourly,$2.164 hourly,,,$2.301 hourly,$1.431 hourly,$0.7287 hourly,$0.8285 hourly,$3.648 hourly,$2.843 hourly,$1.6896 hourly,$1.701 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,$0.27 hourly,current,Turing,31.0°C,Yes,3.50x,0.0W,0.0W,585 MHz,585 MHz,5000 MHz,825 MHz,,,,2.176,0.6514,1.371,2.176,0.6514,1.371,T4,Intel Xeon Family,1.0,32.0,128.0,2.176,1.371,0.6514,210.0,48.0,4.375,family_proxy,identical config to 8259 (Cascade Lake) model,Used CPU World benchmark for 8259CL.,resolved,70,True,900.0,,900 GB NVMe SSD,Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,900.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,138.60000000000002,69.30000000000001,0.0,0.0,0.0,207.90000000000003,0.00020790000000000004,10466.570466570465,6594.516594516594,3133.2371332371326
G4DN Metal,g4dn.metal,g4dn,"1,287,380.984",GPU instance,103.0 fps,384 GiB,3200 MT/s,Yes,2.0,21.0,24.0,48.0,193284 MB,35.0 MB,Yes,0 units,96 vCPUs,4.00 GiB/vCPU,8.0,NVIDIA T4 Tensor Core,128 GiB,7.5,0,0.0000 units,Intel Xeon Family,2.5 GHz,Yes,Yes,Yes,Yes,1800 GB (2×900 GB NVMe SSD),Yes,Yes,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750.0,15.0,Yes,Yes,Yes,107.0,Yes,Yes,Yes,Unknown,No,,$7.824 hourly,$4.929 hourly,$2.6024 hourly,$3.1197 hourly,$8.861 hourly,$5.966 hourly,$3.6394 hourly,$5.3949 hourly,$10.205 hourly,$7.31 hourly,,,$7.949 hourly,$4.989 hourly,$2.7274 hourly,$4.4829 hourly,$12.24 hourly,$9.345 hourly,$5.1984 hourly,$5.1984 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,,current,"Turing, Turing, Turing, Turing, Turing, Turing, Turing, Turing",29.1°C,Yes,3.44x,0.0W,0.0W,514 MHz,514 MHz,3851 MHz,758 MHz,,,,7.824,3.1197,4.929,7.824,3.1197,4.929,T4,Intel Xeon Family,8.0,96.0,384.0,7.824,4.929,3.1197,210.0,48.0,4.375,family_proxy,identical config to 8259 (Cascade Lake) model,Used CPU World benchmark for 8259CL.,resolved,70,True,1800.0,2,1800 GB (2×900 GB NVMe SSD),Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,2,900.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,415.80000000000007,554.4000000000001,0.0,0.0,0.0,970.2000000000002,0.0009702000000000002,8064.3166357452055,5080.395794681508,3215.5225726654294
G4DN Extra Large,g4dn.xlarge,g4dn,"55,463.117",GPU instance,105.0 fps,16 GiB,3200 MT/s,No,,,,,,,,0 units,4 vCPUs,4.00 GiB/vCPU,1.0,NVIDIA T4 Tensor Core,16 GiB,7.5,0,0.0000 units,Intel Xeon Family,2.5 GHz,Yes,Yes,Yes,Yes,125 GB NVMe SSD,Yes,Yes,x86_64,Up to 25 Gigabit,950 Mbps,118.75 MB/s,3000 IOPS,3500 Mbps,437.5 MB/s,20000 IOPS,Yes,30.0,3.0,Yes,No,Yes,39.0,Yes,Yes,Yes,Unknown,Yes,,$0.526 hourly,$0.331 hourly,$0.2172 hourly,$0.2196 hourly,$0.584 hourly,$0.389 hourly,$0.2752 hourly,$0.2812 hourly,$0.654 hourly,$0.459 hourly,,,$0.582 hourly,$0.381 hourly,$0.2732 hourly,$0.2792 hourly,$0.71 hourly,$0.515 hourly,$0.2409 hourly,$0.2412 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,10-15%,$0.132 hourly,current,Turing,31.0°C,Yes,3.48x,0.0W,0.0W,585 MHz,585 MHz,5000 MHz,825 MHz,,,,0.526,0.2196,0.331,0.526,0.2196,0.331,T4,Intel Xeon Family,1.0,4.0,16.0,0.526,0.331,0.2196,210.0,48.0,4.375,family_proxy,identical config to 8259 (Cascade Lake) model,Used CPU World benchmark for 8259CL.,resolved,70,True,125.0,,125 GB NVMe SSD,Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,125.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,17.325000000000003,69.30000000000001,0.0,0.0,0.0,86.62500000000001,8.662500000000002e-05,6072.1500721500715,3821.0678210678207,2535.0649350649346
G5 Graphics and Machine Learning GPU 12xlarge Extra Large,g5.12xlarge,g5,"895,146.627",GPU instance,109.0 fps,192 GiB,3200 MT/s,No,,,,,,,,0 units,48 vCPUs,4.00 GiB/vCPU,4.0,NVIDIA A10G,96 GiB,8.6,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,,,,,3800 GB NVMe SSD,Yes,Yes,x86_64,40 Gigabit,16000 Mbps,2000 MB/s,65000 IOPS,16000 Mbps,2000 MB/s,65000 IOPS,Yes,750.0,15.0,Yes,No,Yes,107.0,Yes,Yes,Yes,Unknown,Yes,,$5.672 hourly,$3.5734 hourly,$2.0218 hourly,$2.2102 hourly,$6.1904 hourly,$4.0918 hourly,$2.5402 hourly,$2.9455 hourly,$6.8624 hourly,$4.7638 hourly,,,$5.797 hourly,$3.6334 hourly,$2.1468 hourly,$2.5521 hourly,$7.88 hourly,$5.7814 hourly,$2.7752 hourly,$3.0824 hourly,$17.917 hourly,$11.288 hourly,,,,,,,,,,,,,>20%,$1.418 hourly,current,"Ampere, Ampere, Ampere, Ampere",26.0°C,Yes,3.62x,58.0W,58.0W,1710 MHz,1710 MHz,6251 MHz,1500 MHz,,,,5.672,2.2102,3.5734,5.672,2.2102,3.5734,A10G,AMD EPYC 7R32,4.0,48.0,192.0,5.672,3.5734,2.2102,280.0,96.0,2.9166666666666665,benchmark_proxy,"Closest EPYC Rome custom-SKU benchmark/reference listings, serversupply",AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,resolved,150,True,3800.0,,3800 GB NVMe SSD,Benchmark for large,5.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,3800.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,138.60000000000002,594.0000000000001,0.0,0.0,0.0,732.6000000000001,0.0007326000000000001,7742.287742287741,4877.695877695876,3016.9260169260165
G5 Graphics and Machine Learning GPU 16xlarge Extra Large,g5.16xlarge,g5,"1,246,915.184",GPU instance,113.0 fps,256 GiB,3200 MT/s,No,,,,,,,,0 units,64 vCPUs,4.00 GiB/vCPU,1.0,NVIDIA A10G,24 GiB,8.6,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,,,,,1900 GB NVMe SSD,Yes,Yes,x86_64,25 Gigabit,16000 Mbps,2000 MB/s,65000 IOPS,16000 Mbps,2000 MB/s,65000 IOPS,Yes,240.0,8.0,Yes,No,Yes,114.0,Yes,Yes,Yes,Unknown,Yes,,$4.096 hourly,$2.5805 hourly,$1.3384 hourly,$1.4352 hourly,$4.7872 hourly,$3.2717 hourly,$2.0296 hourly,$2.2991 hourly,$5.6832 hourly,$4.1677 hourly,,,$4.221 hourly,$2.6405 hourly,$1.4634 hourly,$1.7329 hourly,$7.04 hourly,$5.5245 hourly,$3.3536 hourly,$3.3605 hourly,$17.917 hourly,$11.288 hourly,,,,,,,,,,,,,>20%,$1.024 hourly,current,Ampere,25.0°C,Yes,3.76x,59.0W,59.0W,1710 MHz,1710 MHz,6251 MHz,1500 MHz,,,,4.096,1.4352,2.5805,4.096,1.4352,2.5805,A10G,AMD EPYC 7R32,1.0,64.0,256.0,4.096,2.5805,1.4352,280.0,96.0,2.9166666666666665,benchmark_proxy,"Closest EPYC Rome custom-SKU benchmark/reference listings, serversupply",AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,resolved,150,True,1900.0,,1900 GB NVMe SSD,Benchmark for medium,2.5,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,1900.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,184.8,148.50000000000003,0.0,0.0,0.0,333.30000000000007,0.0003333000000000001,12289.228922892287,7742.274227422739,4306.030603060305
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,g5,"1,613,987.895",GPU instance,111.0 fps,384 GiB,3200 MT/s,No,,,,,,,,0 units,96 vCPUs,4.00 GiB/vCPU,4.0,NVIDIA A10G,96 GiB,8.6,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,,,,,3800 GB NVMe SSD,Yes,Yes,x86_64,50 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750.0,15.0,Yes,No,Yes,107.0,Yes,Yes,Yes,Unknown,Yes,,$8.144 hourly,$5.1307 hourly,$4.3755 hourly,$4.6452 hourly,$9.1808 hourly,$6.1675 hourly,$5.4123 hourly,$6.3067 hourly,$10.5248 hourly,$7.5115 hourly,,,$8.269 hourly,$5.1907 hourly,$4.5005 hourly,$5.3949 hourly,$12.56 hourly,$9.5467 hourly,$5.2304 hourly,$5.2447 hourly,$17.917 hourly,$11.288 hourly,,,,,,,,,,,,,>20%,$2.036 hourly,current,"Ampere, Ampere, Ampere, Ampere",26.8°C,Yes,3.70x,59.0W,59.0W,1710 MHz,1710 MHz,6251 MHz,1500 MHz,,,,8.144,4.6452,5.1307,8.144,4.6452,5.1307,A10G,AMD EPYC 7R32,4.0,96.0,384.0,8.144,5.1307,4.6452,280.0,96.0,2.9166666666666665,benchmark_proxy,"Closest EPYC Rome custom-SKU benchmark/reference listings, serversupply",AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,resolved,150,True,3800.0,,3800 GB NVMe SSD,Benchmark for large,5.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,3800.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,277.20000000000005,594.0000000000001,0.0,0.0,0.0,871.2000000000002,0.0008712000000000001,9348.025711662074,5889.233241505968,5331.955922865013
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,g5,"144,423.884",GPU instance,114.0 fps,32 GiB,3200 MT/s,No,,,,,,,,0 units,8 vCPUs,4.00 GiB/vCPU,1.0,NVIDIA A10G,24 GiB,8.6,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,,,,,450 GB NVMe SSD,Yes,Yes,x86_64,Up to 10 Gigabit,850 Mbps,106.25 MB/s,3500 IOPS,3500 Mbps,437.5 MB/s,15000 IOPS,Yes,60.0,4.0,Yes,No,Yes,17.0,Yes,Yes,Yes,Unknown,Yes,,$1.212 hourly,$0.7636 hourly,$0.4624 hourly,$0.4791 hourly,$1.3272 hourly,$0.8788 hourly,$0.5776 hourly,$0.6192 hourly,$1.4672 hourly,$1.0188 hourly,,,$1.337 hourly,$0.8236 hourly,$0.5874 hourly,$0.629 hourly,$1.58 hourly,$1.1316 hourly,$0.4992 hourly,$0.4994 hourly,$17.917 hourly,$11.288 hourly,,,,,,,,,,,,,15-20%,$0.303 hourly,current,Ampere,25.0°C,Yes,3.80x,57.0W,57.0W,1710 MHz,1710 MHz,6251 MHz,1500 MHz,,,,1.212,0.4791,0.7636,1.212,0.4791,0.7636,A10G,AMD EPYC 7R32,1.0,8.0,32.0,1.212,0.7636,0.4791,280.0,96.0,2.9166666666666665,benchmark_proxy,"Closest EPYC Rome custom-SKU benchmark/reference listings, serversupply",AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,resolved,150,True,450.0,,450 GB NVMe SSD,Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,450.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,resolved,trng_p10,0.9,0.9,idle,active,23.1,148.50000000000003,0.0,0.0,0.0,171.60000000000002,0.00017160000000000002,7062.9370629370615,4449.8834498834485,2791.9580419580416
